,REF_NO,subscribed
0,,0.07827858222497186
1,,0.04184246031746032
2,,0.09626892768394349
3,,0.08505079365079371
4,,0.0024119047619047622
5,,0.09263242050575543
6,,0.03593353462171712
7,,0.07528028578205444
8,,0.36204030914737423
9,,0.016982935943871295
10,,0.05309608677392155
11,,0.011717715363783443
12,,0.10177514915931392
13,,0.03915991456247318
14,,0.0
15,,0.15490986165828668
16,,0.46044455398369166
17,,0.0
18,,0.034715887006877416
19,,0.04691548002362141
20,,0.04691548002362141
21,,0.3719190476190476
22,,0.0010151515151515151
23,,0.09908304983431139
24,,0.035546418036960285
25,,0.6338011294261293
26,,0.0
27,,0.0
28,,0.01627756797862801
29,,0.0699195864947662
30,,0.0
31,,0.04691548002362141
32,,0.04939614388414421
33,,0.08542023941197449
34,,0.03370841086704737
35,,0.6507418768779448
36,,0.10177514915931392
37,,0.0
38,,0.03895593822473344
39,,0.041136507936507916
40,,0.041461868048709785
41,,0.4861819525302289
42,,0.010028884804030514
43,,0.1996
44,,0.00029457556935817805
45,,0.03915991456247318
46,,0.8688408730158732
47,,0.05115108823182944
48,,0.3880380952380952
49,,0.00095
50,,0.10775266240897081
51,,0.026129945900583866
52,,0.10002015700018026
53,,0.19284559501208987
54,,0.004462850058438295
55,,0.0
56,,0.045855462007218385
57,,0.006004890044595926
58,,0.08050050323785725
59,,0.009688780311535729
60,,0.04855171059819367
61,,0.37923615738406713
62,,0.08064911013839689
63,,0.11548944934657629
64,,0.0
65,,0.13144715366214407
66,,0.0
67,,0.00600979733949531
68,,0.03915991456247318
69,,0.0659082021300027
70,,0.0
71,,0.009655591630591629
72,,0.14038092268786806
73,,0.03593353462171712
74,,0.05063225229079937
75,,0.13370015467426324
76,,0.0011608311100839565
77,,0.0
78,,0.04956409835265757
79,,0.030181493506493497
80,,0.048544841269841287
81,,0.11025
82,,0.14936866630815412
83,,0.07187529736309979
84,,0.213
85,,0.11373905657036783
86,,0.4262642857142858
87,,0.053463154009582445
88,,0.33269523809523793
89,,0.027255419705886567
90,,0.2553772022234391
91,,0.04978338874487098
92,,0.08939735954365033
93,,0.018916984130808962
94,,0.4088286796536795
95,,0.11486237566837831
96,,0.004480011655011655
97,,0.007411904761904761
98,,0.0
99,,0.0627986112952273
100,,0.006479456521739131
101,,0.04188637327102637
102,,5.47945205479452e-05
103,,0.0
104,,0.0
105,,0.1273177432561085
106,,0.15149618265468198
107,,0.0772597041847042
108,,0.0108762987012987
109,,0.07721327853834402
110,,0.05063225229079937
111,,0.0
112,,0.03593353462171712
113,,0.05917611555111559
114,,0.06014337866545127
115,,0.7743238095238096
116,,0.013666666666666666
117,,0.14038092268786806
118,,0.19073836440832911
119,,0.043896613597797035
120,,0.09908304983431139
121,,0.03915991456247318
122,,0.2528455599490983
123,,0.03915991456247318
124,,0.01986193059343552
125,,0.012833333333333332
126,,0.034715887006877416
127,,0.11548944934657629
128,,0.6556416666666667
129,,0.05115108823182944
130,,0.0
131,,0.06320833333333334
132,,0.0
133,,0.08641387337431287
134,,0.07784295035030327
135,,0.6445833333333334
136,,0.025101876161136034
137,,0.02283132230469972
138,,0.0
139,,0.13449575471730346
140,,0.37823123175843765
141,,0.0636586874789819
142,,0.07444583042975948
143,,0.06802643012143311
144,,0.0
145,,0.16404836829836839
146,,0.24989868742368734
147,,0.7888108734593253
148,,0.20914561002343604
149,,0.09878297758423098
150,,0.003271852143513048
151,,0.07401646485456628
152,,0.11548944934657629
153,,0.0
154,,0.00095
155,,0.475861507936508
156,,0.6382928571428571
157,,0.6361404761904763
158,,0.03593353462171712
159,,0.03909186186233387
160,,0.19284559501208987
161,,0.04509586920217726
162,,0.04319702802843087
163,,0.0
164,,0.005253700466200466
165,,0.0
166,,0.01647857142857143
167,,0.22033928461029884
168,,0.14034761904761908
169,,0.05736093607106532
170,,0.0
171,,0.08356863734078178
172,,0.15862373972592503
173,,0.20992165612165567
174,,0.2837571428571428
175,,0.04691548002362141
176,,0.10338333333333334
177,,0.09645511274354533
178,,0.08021837058150859
179,,0.46261190476190495
180,,0.18137831586024186
181,,0.018958333333333334
182,,0.034715887006877416
183,,0.032468932510652665
184,,0.03218181818181818
185,,0.7637579365079364
186,,0.09878297758423098
187,,0.14026971272602157
